dataset,rule_i,rule_j,effect_i,effect_j,similarity,smt_result,witness_subject,witness_action,witness_resource,solve_time_ms
KMarket,total-amount,permit-rule,Deny,Permit,0.9537,SAT,kmarket-silver,,,1.00
Continue-A,RPSlist.16.0.4.r.1,RPSlist.16.0.4.r.5,Permit,Deny,0.9447,SAT,pc-member,read,paper-review_rc,0.00
Continue-A,RPSlist.22.0.0.2.4.r.1,RPSlist.22.0.0.2.4.r.5,Permit,Deny,0.9412,SAT,pc-member,read,paper-review-content-commentsPc_rc,0.00
Continue-A,RPSlist.18.0.2.4.r.1,RPSlist.18.0.2.4.r.5,Permit,Deny,0.9378,SAT,pc-member,read,paper-review-content_rc,0.00
Continue-A,RPSlist.21.0.0.2.4.r.1,RPSlist.21.0.0.2.4.r.5,Permit,Deny,0.9334,SAT,pc-member,read,paper-review-content-commentsAll_rc,0.00
Continue-A,RPSlist.22.0.0.2.4.r.4,RPSlist.22.0.0.2.4.r.5,Permit,Deny,0.9304,SAT,pc-member,read,paper-review-content-commentsPc_rc,0.00
Continue-A,RPSlist.16.0.4.r.4,RPSlist.16.0.4.r.5,Permit,Deny,0.9297,SAT,pc-member,read,paper-review_rc,1.02
Continue-A,RPSlist.17.0.1.4.r.1,RPSlist.17.0.1.4.r.5,Permit,Deny,0.9293,SAT,pc-member,read,paper-review-info_rc,1.02
Continue-A,RPSlist.23.0.0.1.4.r.1,RPSlist.23.0.0.1.4.r.5,Permit,Deny,0.9283,SAT,pc-member,read,paper-review-info-reviewer_rc,1.01
Continue-A,RPSlist.20.0.0.2.4.r.1,RPSlist.20.0.0.2.4.r.5,Permit,Deny,0.9271,SAT,pc-member,read,paper-review-content-rating_rc,1.00
Continue-A,RPSlist.21.0.0.2.4.r.4,RPSlist.21.0.0.2.4.r.5,Permit,Deny,0.9267,SAT,pc-member,read,paper-review-content-commentsAll_rc,1.00
Continue-A,RPSlist.19.0.1.1.4.r.1,RPSlist.19.0.1.1.4.r.5,Permit,Deny,0.9267,SAT,pc-member,read,paper-review-info-submissionStatus_rc,1.00
Continue-A,RPSlist.18.0.2.4.r.4,RPSlist.18.0.2.4.r.5,Permit,Deny,0.9252,SAT,pc-member,read,paper-review-content_rc,1.00
Continue-A,RPSlist.17.0.1.4.r.4,RPSlist.17.0.1.4.r.5,Permit,Deny,0.9231,SAT,pc-member,read,paper-review-info_rc,1.00
Continue-A,RPSlist.20.0.0.2.4.r.4,RPSlist.20.0.0.2.4.r.5,Permit,Deny,0.9227,SAT,pc-member,read,paper-review-content-rating_rc,1.00
Continue-A,RPSlist.19.0.1.1.4.r.4,RPSlist.19.0.1.1.4.r.5,Permit,Deny,0.9217,SAT,pc-member,read,paper-review-info-submissionStatus_rc,0.00
Continue-A,RPSlist.8.0.1.r.1,RPSlist.8.0.4.1.r.1,Deny,Permit,0.9208,SAT,pc-member,read,pcMember-info-isChairFlag_rc,1.01
Continue-A,RPSlist.8.0.4.1.r.1,RPSlist.8.0.4.3.2.r.1,Permit,Deny,0.9208,SAT,pc-member,read,pcMember-info-isChairFlag_rc,1.01
Continue-A,RPSlist.23.0.0.1.4.r.4,RPSlist.23.0.0.1.4.r.5,Permit,Deny,0.9208,SAT,pc-member,read,paper-review-info-reviewer_rc,0.00
Continue-A,RPSlist.7.0.3.1.r.1,RPSlist.7.0.3.3.2.r.1,Permit,Deny,0.9188,SAT,pc-member,read,pcMember-info-password_rc,1.01
Continue-A,RPSlist.3.0.1.r.1,RPSlist.3.0.3.2.r.1,Permit,Deny,0.9187,SAT,pc-member,read,pcMember-assignments_rc,0.00
Continue-A,RPSlist.4.0.1.r.1,RPSlist.4.0.3.2.r.1,Permit,Deny,0.9169,SAT,pc-member,read,pcMember-conflicts_rc,1.00
Continue-A,RPSlist.6.0.1.r.1,RPSlist.6.0.3.2.r.1,Permit,Deny,0.9138,SAT,pc-member,read,pcMember-info_rc,2.21
Continue-A,RPSlist.22.0.0.2.4.r.2,RPSlist.22.0.0.2.4.r.5,Permit,Deny,0.9085,SAT,pc-member,read,paper-review-content-commentsPc_rc,1.00
Continue-A,RPSlist.21.0.0.2.4.r.2,RPSlist.21.0.0.2.4.r.5,Permit,Deny,0.9038,SAT,pc-member,read,paper-review-content-commentsAll_rc,0.00
Continue-A,RPSlist.16.0.4.r.2,RPSlist.16.0.4.r.5,Permit,Deny,0.8997,SAT,pc-member,read,paper-review_rc,1.36
Continue-A,RPSlist.18.0.2.4.r.2,RPSlist.18.0.2.4.r.5,Permit,Deny,0.8959,SAT,pc-member,read,paper-review-content_rc,0.00
Continue-A,RPSlist.16.0.4.r.5,RPSlist.16.0.5.3.2.r.1,Deny,Permit,0.8951,SAT,pc-member,read,paper-review_rc,0.00
Continue-A,RPSlist.20.0.0.2.4.r.2,RPSlist.20.0.0.2.4.r.5,Permit,Deny,0.8936,SAT,pc-member,read,paper-review-content-rating_rc,0.00
Continue-A,RPSlist.22.0.0.2.4.r.5,RPSlist.22.0.0.2.5.3.2.r.1,Deny,Permit,0.8927,SAT,pc-member,read,paper-review-content-commentsPc_rc,0.00
Continue-A,RPSlist.18.0.2.4.r.5,RPSlist.18.0.2.5.3.2.r.1,Deny,Permit,0.8925,SAT,pc-member,read,paper-review-content_rc,0.00
Continue-A,RPSlist.17.0.1.4.r.2,RPSlist.17.0.1.4.r.5,Permit,Deny,0.8902,SAT,pc-member,read,paper-review-info_rc,1.00
Continue-A,RPSlist.20.0.0.2.4.r.5,RPSlist.20.0.0.2.5.3.2.r.1,Deny,Permit,0.8871,SAT,pc-member,read,paper-review-content-rating_rc,0.00
Continue-A,RPSlist.23.0.0.1.4.r.2,RPSlist.23.0.0.1.4.r.5,Permit,Deny,0.8869,SAT,pc-member,read,paper-review-info-reviewer_rc,0.00
Continue-A,RPSlist.19.0.1.1.4.r.2,RPSlist.19.0.1.1.4.r.5,Permit,Deny,0.8854,SAT,pc-member,read,paper-review-info-submissionStatus_rc,0.00
Continue-A,RPSlist.23.0.0.1.4.r.5,RPSlist.23.0.0.1.5.3.2.r.1,Deny,Permit,0.8846,SAT,pc-member,read,paper-review-info-reviewer_rc,0.00
Continue-A,RPSlist.21.0.0.2.4.r.5,RPSlist.21.0.0.2.5.3.2.r.1,Deny,Permit,0.8834,SAT,pc-member,read,paper-review-content-commentsAll_rc,0.00
Continue-A,RPSlist.16.0.4.r.3,RPSlist.16.0.4.r.5,Permit,Deny,0.8827,SAT,pc-member,read,paper-review_rc,0.00
Continue-A,RPSlist.22.0.0.2.4.r.3,RPSlist.22.0.0.2.4.r.5,Permit,Deny,0.8809,SAT,pc-member,read,paper-review-content-commentsPc_rc,0.00
Continue-A,RPSlist.19.0.1.1.4.r.5,RPSlist.19.0.1.1.5.3.2.r.1,Deny,Permit,0.8796,SAT,pc-member,read,paper-review-info-submissionStatus_rc,0.00
Continue-A,RPSlist.17.0.1.4.r.5,RPSlist.17.0.1.5.3.2.r.1,Deny,Permit,0.8780,SAT,pc-member,read,paper-review-info_rc,1.00
Continue-A,RPSlist.17.0.1.4.r.3,RPSlist.17.0.1.4.r.5,Permit,Deny,0.8780,SAT,pc-member,read,paper-review-info_rc,1.12
Continue-A,RPSlist.19.0.1.1.4.r.3,RPSlist.19.0.1.1.4.r.5,Permit,Deny,0.8772,SAT,pc-member,read,paper-review-info-submissionStatus_rc,1.00
Continue-A,RPSlist.21.0.0.2.4.r.3,RPSlist.21.0.0.2.4.r.5,Permit,Deny,0.8758,SAT,pc-member,read,paper-review-content-commentsAll_rc,1.00
Continue-A,RPSlist.18.0.2.4.r.3,RPSlist.18.0.2.4.r.5,Permit,Deny,0.8757,SAT,pc-member,read,paper-review-content_rc,0.00
Continue-A,RPSlist.20.0.0.2.4.r.3,RPSlist.20.0.0.2.4.r.5,Permit,Deny,0.8750,SAT,pc-member,read,paper-review-content-rating_rc,0.00
Continue-A,RPSlist.23.0.0.1.4.r.3,RPSlist.23.0.0.1.4.r.5,Permit,Deny,0.8748,SAT,pc-member,read,paper-review-info-reviewer_rc,0.00
Continue-A,RPSlist.21.0.0.2.4.r.5,RPSlist.21.0.0.2.5.1.r.1,Deny,Permit,0.7934,SAT,pc-member,read,paper-review-content-commentsAll_rc,1.00
Continue-A,RPSlist.20.0.0.2.4.r.5,RPSlist.20.0.0.2.5.1.r.1,Deny,Permit,0.7918,SAT,pc-member,read,paper-review-content-rating_rc,0.00
Continue-A,RPSlist.22.0.0.2.4.r.5,RPSlist.22.0.0.2.5.1.r.1,Deny,Permit,0.7914,SAT,pc-member,read,paper-review-content-commentsPc_rc,1.00
Continue-A,RPSlist.18.0.2.4.r.5,RPSlist.18.0.2.5.1.r.1,Deny,Permit,0.7831,SAT,pc-member,read,paper-review-content_rc,0.00
Continue-A,RPSlist.16.0.4.r.5,RPSlist.16.0.5.1.r.1,Deny,Permit,0.7812,SAT,pc-member,read,paper-review_rc,0.00
Continue-A,RPSlist.19.0.1.1.4.r.5,RPSlist.19.0.1.1.5.1.r.1,Deny,Permit,0.7793,SAT,pc-member,read,paper-review-info-submissionStatus_rc,1.21
Continue-A,RPSlist.23.0.0.1.4.r.5,RPSlist.23.0.0.1.5.1.r.1,Deny,Permit,0.7791,SAT,pc-member,read,paper-review-info-reviewer_rc,1.00
Continue-A,RPSlist.17.0.1.4.r.5,RPSlist.17.0.1.5.1.r.1,Deny,Permit,0.7745,SAT,pc-member,read,paper-review-info_rc,0.00
Continue-A,RPSlist.15.0.2.r.1,RPSlist.15.0.3.r.1,Permit,Deny,0.6889,SAT,true,read,paper-assignments_rc,1.00
