dataset,threshold,precision,recall,f1,candidates
GEYSERS,0.30,0.0000,0.0000,0.0000,0
GEYSERS,0.40,0.0000,0.0000,0.0000,0
GEYSERS,0.50,0.0000,0.0000,0.0000,0
GEYSERS,0.55,0.0000,0.0000,0.0000,0
GEYSERS,0.60,0.0000,0.0000,0.0000,0
GEYSERS,0.65,0.0000,0.0000,0.0000,0
GEYSERS,0.70,0.0000,0.0000,0.0000,0
GEYSERS,0.75,0.0000,0.0000,0.0000,0
GEYSERS,0.80,0.0000,0.0000,0.0000,0
GEYSERS,0.85,0.0000,0.0000,0.0000,0
KMarket,0.30,1.0000,1.0000,1.0000,4
KMarket,0.40,1.0000,1.0000,1.0000,4
KMarket,0.50,1.0000,1.0000,1.0000,4
KMarket,0.55,1.0000,1.0000,1.0000,4
KMarket,0.60,1.0000,1.0000,1.0000,4
KMarket,0.65,1.0000,1.0000,1.0000,4
KMarket,0.70,1.0000,1.0000,1.0000,4
KMarket,0.75,1.0000,0.7500,0.8571,3
KMarket,0.80,1.0000,0.2500,0.4000,1
KMarket,0.85,1.0000,0.2500,0.4000,1
Continue-A,0.30,0.1199,0.5311,0.1956,2135
Continue-A,0.40,0.1199,0.5311,0.1956,2135
Continue-A,0.50,0.1199,0.5311,0.1956,2135
Continue-A,0.55,0.1199,0.5311,0.1956,2135
Continue-A,0.60,0.1199,0.5311,0.1956,2135
Continue-A,0.65,0.1199,0.5311,0.1956,2135
Continue-A,0.70,0.1455,0.4149,0.2154,1375
Continue-A,0.75,0.1906,0.3382,0.2438,855
Continue-A,0.80,0.1770,0.1784,0.1777,486
Continue-A,0.85,0.3300,0.1369,0.1935,200
Synthetic360,0.30,0.0000,0.0000,0.0000,6917
Synthetic360,0.40,0.0000,0.0000,0.0000,6917
Synthetic360,0.50,0.0000,0.0000,0.0000,6917
Synthetic360,0.55,0.0000,0.0000,0.0000,6917
Synthetic360,0.60,0.0000,0.0000,0.0000,6917
Synthetic360,0.65,0.0000,0.0000,0.0000,6917
Synthetic360,0.70,0.0000,0.0000,0.0000,6917
Synthetic360,0.75,0.0000,0.0000,0.0000,6917
Synthetic360,0.80,0.0000,0.0000,0.0000,6917
Synthetic360,0.85,0.0000,0.0000,0.0000,6917
